cluster,baseline_qwk,optimization,optimized_qwk
car_free_cities,0.6057,failed,
driverless_cars_policy,0.5512,failed,
electoral_college_debate,0.6931,failed,
emotion_recognition_schools,0.6841,failed,
face_on_mars_evidence,0.4919,failed,
seagoing_cowboys_program,0.3867,failed,
